,data_1
0,-1
1,894
2,10
3,130
4,1
5,934
6,29
7,6
8,485
9,254
10,372
11,81
12,191
13,355
14,180
15,286
16,47
17,269
18,361
19,173
20,246
21,492
22,462
23,1319
24,58
25,297
26,31
27,2970
28,640
29,237
30,434
31,570
32,77
33,271
34,563
35,3365
36,89
37,0
38,379
39,221
40,479
41,367
42,628
43,843
44,1613
45,1101
46,215
47,684
48,814
49,278
50,324
51,161
52,219
53,545
54,715
55,966
56,624
57,29
58,450
59,107
60,20
61,91
62,1325
63,124
64,1468
65,104
66,1309
67,429
68,62
69,1878
70,1104
71,123
72,251
73,93
74,188
75,983
76,166
77,96
78,702
79,23
80,524
81,26
82,299
83,59
84,39
85,12
86,2
87,308
88,1114
89,813
90,887
